iter	Passed	Remaining
1582	273234	71976
1583	273406	71803
1584	273581	71631
1585	273709	71447
1586	273903	71280
1587	274112	71117
1588	274292	70946
1589	274465	70774
1590	274645	70603
1591	274821	70431
1592	275023	70266
1593	275165	70086
1594	275395	69927
1595	275506	69739
1596	275649	69559
1597	275855	69395
1598	275990	69213
1599	276198	69049
1600	276405	68885
1601	276571	68711
1602	276745	68539
1603	276941	68372
1604	277122	68201
1605	277241	68015
1606	277440	67849
1607	277625	67679
1608	277850	67519
1609	278020	67346
1610	278212	67178
1611	278396	67008
1612	278526	66825
1613	278689	66650
1614	278881	66482
1615	279089	66318
1616	279218	66135
1617	279475	65982
1618	279600	65798
1619	279787	65629
1620	279947	65453
1621	280086	65272
1622	280279	65105
1623	280423	64925
1624	280626	64759
1625	280818	64591
1626	280970	64414
1627	281184	64251
1628	281361	64079
1629	281486	63895
1630	281651	63721
1631	281802	63543
1632	281988	63374
1633	282171	63203
1634	282410	63045
1635	282545	62864
1636	282700	62687
1637	282853	62510
1638	283016	62336
1639	283127	62150
1640	283342	61986
1641	283526	61816
1642	283656	61634
1643	283830	61462
1644	283986	61285
1645	284158	61113
1646	284348	60944
1647	284484	60763
1648	284663	60592
1649	284806	60413
1650	284950	60234
1651	285041	60045
1652	285153	59859
1653	285306	59683
1654	285448	59504
1655	285584	59324
1656	285792	59159
1657	285883	58970
1658	286066	58799
1659	286270	58633
